channel,source_profile,source_category,films_covered,items_tracked,full_videos,shorts,review_discussion_items,context_items,review_share_pct,stored_comments,useful_comments,useful_share_pct,questions,public_comments,views,comments_per_item,tracker_value
Tamil Talkies,Tamil Talkies,roast_commentary,12,17,17,0,17,0,100.0,3814,3213,84.2,350,7846,5159008,461.5,127.38
KaKi's Talkies,KaKi's Talkies,general_review,15,16,16,0,16,0,100.0,625,548,87.7,82,1028,634714,64.2,74.17
Filmi craft,Filmi Craft,general_review,11,12,12,0,12,0,100.0,1586,1217,76.7,93,1950,945854,162.5,73.12
Second Show,Second Show,general_review,11,11,11,0,11,0,100.0,554,499,90.1,68,776,254414,70.5,54.49
Empty Hand,Empty Hand,roast_commentary,2,2,2,0,2,0,100.0,803,684,85.2,78,2916,1455989,1458.0,53.49
tamilcinemareview,tamilcinemareview,open_youtube,9,9,9,0,9,0,100.0,934,760,81.4,91,1243,582991,138.1,53.27
Tubelight Mind,Tubelight Mind,open_youtube,2,2,1,1,2,0,100.0,698,510,73.1,40,911,2459945,455.5,24.03
Trendswood Tv,Trendswood Tv,open_youtube,4,4,4,0,4,0,100.0,331,249,75.2,20,440,209994,110.0,23.6
The Fencer Show,The Fencer Show,open_youtube,5,6,5,1,6,0,100.0,47,32,68.1,3,74,89060,12.3,23.37
Galatta Plus,Galatta Plus,critic_review,6,7,7,0,3,4,42.9,256,233,91.0,57,407,237389,58.1,23.28
Thi Cinemas,Thi Cinemas,open_youtube,4,4,4,0,4,0,100.0,238,149,62.6,15,350,664779,87.5,22.0
Valai Pechu,Valai Pechu,mixed_media,4,4,4,0,4,0,100.0,307,197,64.2,27,357,388759,89.2,21.99
Makkal Talkies,Makkal Talkies,open_youtube,4,5,1,4,5,0,100.0,41,21,51.2,2,48,410098,9.6,20.34
Critics Mohan,Critics Mohan,open_youtube,4,5,4,1,5,0,100.0,12,9,75.0,0,17,42235,3.4,19.16
Sudhir Srinivasan,Sudhir Srinivasan,critic_review,5,5,5,0,2,3,40.0,183,166,90.7,59,282,78336,56.4,19.04
Bingoo Box,Bingoo Box,open_youtube,3,3,3,0,3,0,100.0,101,73,72.3,4,187,122453,62.3,16.25
Gurubaai,Gurubaai,open_youtube,1,1,1,0,1,0,100.0,415,363,87.5,48,570,553204,570.0,15.3
cut 2 cut,cut 2 cut,open_youtube,2,5,4,1,5,0,100.0,3,2,66.7,0,4,15212,0.8,14.79
Tamizhaga TentKottai,Tamizhaga TentKottai,open_youtube,3,3,3,0,3,0,100.0,23,23,100.0,3,23,2835,7.7,14.35
Aj Cine Talkies,Aj Cine Talkies,open_youtube,3,3,3,0,3,0,100.0,12,6,50.0,1,12,11050,4.0,13.18
Mr Retro Review ,Mr Retro Review ,open_youtube,3,3,1,2,3,0,100.0,1,0,0.0,0,2,17789,0.7,12.83
CK RAMNADKAARAN,CK RAMNADKAARAN,open_youtube,1,4,1,3,4,0,100.0,2,2,100.0,0,2,1541,0.5,12.73
BM Cinema (தமிழ்),BM Cinema (தமிழ்),open_youtube,2,3,3,0,3,0,100.0,1,1,100.0,0,1,2061,0.3,12.02
Rafi Theatre,Rafi Theatre,open_youtube,2,2,0,2,2,0,100.0,1,1,100.0,0,1,2761,0.5,11.31
Vaai Savadaal,Vaai Savadaal,open_youtube,1,1,1,0,1,0,100.0,193,184,95.3,34,288,71020,288.0,11.23
"Mr Mus . 1.5 crore views . 1 hour ago




...","Mr Mus . 1.5 crore views . 1 hour ago




...",open_youtube,2,3,0,3,3,0,100.0,0,0,0.0,0,0,28873,0.0,11.2
ThaniOruvan Media ,ThaniOruvan Media ,open_youtube,2,3,0,3,3,0,100.0,0,0,0.0,0,0,3547,0.0,11.2
VAALIBAN REVIEW ,VAALIBAN REVIEW ,open_youtube,2,2,1,1,2,0,100.0,25,21,84.0,0,25,35579,12.5,10.96
Mr. GK Movie Man,Mr. GK Movie Man,open_youtube,2,2,2,0,2,0,100.0,18,17,94.4,2,19,16832,9.5,10.67
Aswanth Kok,Aswanth Kok,open_youtube,1,1,1,0,1,0,100.0,104,79,76.0,4,190,141786,190.0,9.37
கல்லாப்பெட்டி தமிழ்,கல்லாப்பெட்டி தமிழ்,open_youtube,2,2,1,1,2,0,100.0,1,0,0.0,0,1,1070,0.5,8.91
Uruttu Arafath Voice,Uruttu Arafath Voice,open_youtube,1,1,0,1,1,0,100.0,59,41,69.5,4,125,435458,125.0,8.66
Live On Heaven TV,Live On Heaven TV,open_youtube,1,2,2,0,2,0,100.0,1,1,100.0,0,1,3671,0.5,8.52
Shruti TV,Shruti TV,open_youtube,1,2,2,0,2,0,100.0,29,21,72.4,3,37,23753,18.5,8.5
Cinema Vikatan,Cinema Vikatan,mixed_media,1,1,0,1,1,0,100.0,37,29,78.4,1,58,790954,58.0,8.14
Shafi Zone,Shafi Zone,open_youtube,1,1,1,0,1,0,100.0,67,57,85.1,4,84,61536,84.0,7.96
Makkal Vote,Makkal Vote,open_youtube,1,1,0,1,1,0,100.0,24,23,95.8,1,39,288962,39.0,7.9
Friday Facts,Friday Facts,open_youtube,1,1,0,1,1,0,100.0,41,32,78.0,4,54,213068,54.0,7.77
Akfilmverse ,Akfilmverse ,open_youtube,1,1,0,1,1,0,100.0,38,27,71.1,2,52,405413,52.0,7.6
Filmy Media,Filmy Media,open_youtube,1,1,0,1,1,0,100.0,6,6,100.0,0,6,129133,6.0,7.49
Mr Filmzada,Mr Filmzada,open_youtube,1,1,0,1,1,0,100.0,3,3,100.0,0,5,18433,5.0,7.47
Last Bencher Review ,Last Bencher Review ,open_youtube,1,1,0,1,1,0,100.0,1,1,100.0,1,4,5414,4.0,7.46
Black Pepper News,Black Pepper News,open_youtube,1,1,1,0,1,0,100.0,42,34,81.0,4,54,146170,54.0,7.43
SPUNKY ASLAM ,SPUNKY ASLAM ,open_youtube,1,1,0,1,1,0,100.0,1,1,100.0,0,2,4475,2.0,7.43
filminotess,filminotess,open_youtube,1,1,0,1,1,0,100.0,2,2,100.0,0,2,99068,2.0,7.43
Filmy SinghSaheb ,Filmy SinghSaheb ,open_youtube,1,1,0,1,1,0,100.0,1,1,100.0,0,1,1020,1.0,7.42
Karthik Reacts,Karthik Reacts,open_youtube,1,1,0,1,1,0,100.0,1,1,100.0,0,1,4393,1.0,7.42
MIDDLE CLASS ARAVIND,MIDDLE CLASS ARAVIND,open_youtube,1,1,0,1,1,0,100.0,1,1,100.0,1,1,1539,1.0,7.42
Varun Talks,Varun Talks,open_youtube,1,1,1,0,1,0,100.0,26,24,92.3,5,32,31595,32.0,7.33
Kumudam Cinema,Kumudam Cinema,open_youtube,1,2,0,2,2,0,100.0,0,0,0.0,0,0,1936,0.0,7.3
Thirupathi Jilebi,Thirupathi Jilebi,open_youtube,1,1,0,1,1,0,100.0,11,9,81.8,2,17,22082,17.0,7.29
Chutki me Review🤞,Chutki me Review🤞,open_youtube,1,1,1,0,1,0,100.0,7,7,100.0,2,15,1193,15.0,7.22
Review Petti & USA Vlogs,Review Petti & USA Vlogs,open_youtube,1,1,1,0,1,0,100.0,5,5,100.0,0,11,1838,11.0,7.17
VBD Review ,VBD Review ,open_youtube,2,2,1,1,1,1,50.0,3,1,33.3,0,5,3070,2.5,7.14
Chennai Day,Chennai Day,open_youtube,1,1,1,0,1,0,100.0,5,5,100.0,1,6,8260,6.0,7.09
Jeeva Anand,Jeeva Anand,open_youtube,1,1,1,0,1,0,100.0,2,2,100.0,0,5,4514,5.0,7.08
திரை Box தமிழ் 2,திரை Box தமிழ் 2,open_youtube,1,1,1,0,1,0,100.0,2,2,100.0,0,5,1179,5.0,7.08
Channel 5 Cinema,Channel 5 Cinema,open_youtube,4,4,4,0,0,4,0.0,4,3,75.0,1,4,3117,1.0,7.06
Bollywood Collection,Bollywood Collection,open_youtube,1,1,0,1,1,0,100.0,8,6,75.0,0,9,52961,9.0,7.04
MovieAnalystic,MovieAnalystic,open_youtube,1,1,1,0,1,0,100.0,2,2,100.0,0,2,706,2.0,7.03
Mr Aanee,Mr Aanee,open_youtube,1,1,1,0,1,0,100.0,1,1,100.0,0,2,2854,2.0,7.03
VR Media Network,VR Media Network,open_youtube,1,1,1,0,1,0,100.0,2,2,100.0,0,2,699,2.0,7.03
 Filmy world KD BANARASI , Filmy world KD BANARASI ,open_youtube,1,1,1,0,1,0,100.0,1,1,100.0,1,1,0,1.0,7.02
Ammikallu,Ammikallu,open_youtube,1,1,1,0,1,0,100.0,1,1,100.0,0,1,582,1.0,7.02
DBICA athirvugal,DBICA athirvugal,open_youtube,1,1,1,0,1,0,100.0,1,1,100.0,0,1,377,1.0,7.02
K S Filmy Review ,K S Filmy Review ,open_youtube,1,1,1,0,1,0,100.0,1,1,100.0,0,1,450,1.0,7.02
LITTLE STAR HARSH ,LITTLE STAR HARSH ,open_youtube,1,1,1,0,1,0,100.0,1,1,100.0,0,1,50,1.0,7.02
Makilchi Canada,Makilchi Canada,open_youtube,1,1,1,0,1,0,100.0,1,1,100.0,0,1,5363,1.0,7.02
