film,channel,channel_rank,channel_id,source_category,status,top_channels_present_for_film,top_channels_total,tracked_review_videos,stored_comments,latest_published_at,latest_scanned_at,retry_priority,note
Andharan,Delite Cinemas,8,UCAPY9agmayYQ5-tYikGlxhA,general_review,missing_needs_retry,0,8,0,0,,,88,Targeted film-channel search should retry this pair.
Anthony,Delite Cinemas,8,UCAPY9agmayYQ5-tYikGlxhA,general_review,missing_needs_retry,0,8,0,0,,,88,Targeted film-channel search should retry this pair.
Arjunan Per Paththu,Delite Cinemas,8,UCAPY9agmayYQ5-tYikGlxhA,general_review,missing_needs_retry,0,8,0,0,,,88,Targeted film-channel search should retry this pair.
Dark Giant,Delite Cinemas,8,UCAPY9agmayYQ5-tYikGlxhA,general_review,missing_needs_retry,0,8,0,0,,,88,Targeted film-channel search should retry this pair.
Double Occupancy,Delite Cinemas,8,UCAPY9agmayYQ5-tYikGlxhA,general_review,missing_needs_retry,0,8,0,0,,,88,Targeted film-channel search should retry this pair.
Ego Raman,Delite Cinemas,8,UCAPY9agmayYQ5-tYikGlxhA,general_review,missing_needs_retry,0,8,0,0,,,88,Targeted film-channel search should retry this pair.
Find Me,Delite Cinemas,8,UCAPY9agmayYQ5-tYikGlxhA,general_review,missing_needs_retry,0,8,0,0,,,88,Targeted film-channel search should retry this pair.
Granny,Delite Cinemas,8,UCAPY9agmayYQ5-tYikGlxhA,general_review,missing_needs_retry,0,8,0,0,,,88,Targeted film-channel search should retry this pair.
Happy Raj,Delite Cinemas,8,UCAPY9agmayYQ5-tYikGlxhA,general_review,missing_needs_retry,0,8,0,0,,,88,Targeted film-channel search should retry this pair.
Moondram Kan,Delite Cinemas,8,UCAPY9agmayYQ5-tYikGlxhA,general_review,missing_needs_retry,0,8,0,0,,,88,Targeted film-channel search should retry this pair.
Neelira,Delite Cinemas,8,UCAPY9agmayYQ5-tYikGlxhA,general_review,missing_needs_retry,0,8,0,0,,,88,Targeted film-channel search should retry this pair.
Nizhal,Delite Cinemas,8,UCAPY9agmayYQ5-tYikGlxhA,general_review,missing_needs_retry,0,8,0,0,,,88,Targeted film-channel search should retry this pair.
Oru Kaalathil Aasthireliyavil,Delite Cinemas,8,UCAPY9agmayYQ5-tYikGlxhA,general_review,missing_needs_retry,0,8,0,0,,,88,Targeted film-channel search should retry this pair.
Photographer,Delite Cinemas,8,UCAPY9agmayYQ5-tYikGlxhA,general_review,missing_needs_retry,0,8,0,0,,,88,Targeted film-channel search should retry this pair.
Sweet Rogue Killer,Delite Cinemas,8,UCAPY9agmayYQ5-tYikGlxhA,general_review,missing_needs_retry,0,8,0,0,,,88,Targeted film-channel search should retry this pair.
Tholaivil Oru Kadhal,Delite Cinemas,8,UCAPY9agmayYQ5-tYikGlxhA,general_review,missing_needs_retry,0,8,0,0,,,88,Targeted film-channel search should retry this pair.
Unsaid,Delite Cinemas,8,UCAPY9agmayYQ5-tYikGlxhA,general_review,missing_needs_retry,0,8,0,0,,,88,Targeted film-channel search should retry this pair.
Valluvan,Delite Cinemas,8,UCAPY9agmayYQ5-tYikGlxhA,general_review,missing_needs_retry,0,8,0,0,,,88,Targeted film-channel search should retry this pair.
Andharan,Sudhir Srinivasan,7,UCSHTtPCL2CV5eoj9uMPz_tg,critic_review,missing_needs_retry,0,8,0,0,,,87,Targeted film-channel search should retry this pair.
Anthony,Sudhir Srinivasan,7,UCSHTtPCL2CV5eoj9uMPz_tg,critic_review,missing_needs_retry,0,8,0,0,,,87,Targeted film-channel search should retry this pair.
Arjunan Per Paththu,Sudhir Srinivasan,7,UCSHTtPCL2CV5eoj9uMPz_tg,critic_review,missing_needs_retry,0,8,0,0,,,87,Targeted film-channel search should retry this pair.
Dark Giant,Sudhir Srinivasan,7,UCSHTtPCL2CV5eoj9uMPz_tg,critic_review,missing_needs_retry,0,8,0,0,,,87,Targeted film-channel search should retry this pair.
Double Occupancy,Sudhir Srinivasan,7,UCSHTtPCL2CV5eoj9uMPz_tg,critic_review,missing_needs_retry,0,8,0,0,,,87,Targeted film-channel search should retry this pair.
Ego Raman,Sudhir Srinivasan,7,UCSHTtPCL2CV5eoj9uMPz_tg,critic_review,missing_needs_retry,0,8,0,0,,,87,Targeted film-channel search should retry this pair.
Find Me,Sudhir Srinivasan,7,UCSHTtPCL2CV5eoj9uMPz_tg,critic_review,missing_needs_retry,0,8,0,0,,,87,Targeted film-channel search should retry this pair.
Granny,Sudhir Srinivasan,7,UCSHTtPCL2CV5eoj9uMPz_tg,critic_review,missing_needs_retry,0,8,0,0,,,87,Targeted film-channel search should retry this pair.
Happy Raj,Sudhir Srinivasan,7,UCSHTtPCL2CV5eoj9uMPz_tg,critic_review,missing_needs_retry,0,8,0,0,,,87,Targeted film-channel search should retry this pair.
Moondram Kan,Sudhir Srinivasan,7,UCSHTtPCL2CV5eoj9uMPz_tg,critic_review,missing_needs_retry,0,8,0,0,,,87,Targeted film-channel search should retry this pair.
Neelira,Sudhir Srinivasan,7,UCSHTtPCL2CV5eoj9uMPz_tg,critic_review,missing_needs_retry,0,8,0,0,,,87,Targeted film-channel search should retry this pair.
Nizhal,Sudhir Srinivasan,7,UCSHTtPCL2CV5eoj9uMPz_tg,critic_review,missing_needs_retry,0,8,0,0,,,87,Targeted film-channel search should retry this pair.
Oru Kaalathil Aasthireliyavil,Sudhir Srinivasan,7,UCSHTtPCL2CV5eoj9uMPz_tg,critic_review,missing_needs_retry,0,8,0,0,,,87,Targeted film-channel search should retry this pair.
Photographer,Sudhir Srinivasan,7,UCSHTtPCL2CV5eoj9uMPz_tg,critic_review,missing_needs_retry,0,8,0,0,,,87,Targeted film-channel search should retry this pair.
Sweet Rogue Killer,Sudhir Srinivasan,7,UCSHTtPCL2CV5eoj9uMPz_tg,critic_review,missing_needs_retry,0,8,0,0,,,87,Targeted film-channel search should retry this pair.
Tholaivil Oru Kadhal,Sudhir Srinivasan,7,UCSHTtPCL2CV5eoj9uMPz_tg,critic_review,missing_needs_retry,0,8,0,0,,,87,Targeted film-channel search should retry this pair.
Unsaid,Sudhir Srinivasan,7,UCSHTtPCL2CV5eoj9uMPz_tg,critic_review,missing_needs_retry,0,8,0,0,,,87,Targeted film-channel search should retry this pair.
Valluvan,Sudhir Srinivasan,7,UCSHTtPCL2CV5eoj9uMPz_tg,critic_review,missing_needs_retry,0,8,0,0,,,87,Targeted film-channel search should retry this pair.
Andharan,Galatta Plus,6,UCTTUsQJAdGSd2mMsGGfvzhQ,critic_review,missing_needs_retry,0,8,0,0,,,86,Targeted film-channel search should retry this pair.
Anthony,Galatta Plus,6,UCTTUsQJAdGSd2mMsGGfvzhQ,critic_review,missing_needs_retry,0,8,0,0,,,86,Targeted film-channel search should retry this pair.
Arjunan Per Paththu,Galatta Plus,6,UCTTUsQJAdGSd2mMsGGfvzhQ,critic_review,missing_needs_retry,0,8,0,0,,,86,Targeted film-channel search should retry this pair.
Dark Giant,Galatta Plus,6,UCTTUsQJAdGSd2mMsGGfvzhQ,critic_review,missing_needs_retry,0,8,0,0,,,86,Targeted film-channel search should retry this pair.
Double Occupancy,Galatta Plus,6,UCTTUsQJAdGSd2mMsGGfvzhQ,critic_review,missing_needs_retry,0,8,0,0,,,86,Targeted film-channel search should retry this pair.
Ego Raman,Galatta Plus,6,UCTTUsQJAdGSd2mMsGGfvzhQ,critic_review,missing_needs_retry,0,8,0,0,,,86,Targeted film-channel search should retry this pair.
Find Me,Galatta Plus,6,UCTTUsQJAdGSd2mMsGGfvzhQ,critic_review,missing_needs_retry,0,8,0,0,,,86,Targeted film-channel search should retry this pair.
Granny,Galatta Plus,6,UCTTUsQJAdGSd2mMsGGfvzhQ,critic_review,missing_needs_retry,0,8,0,0,,,86,Targeted film-channel search should retry this pair.
Happy Raj,Galatta Plus,6,UCTTUsQJAdGSd2mMsGGfvzhQ,critic_review,missing_needs_retry,0,8,0,0,,,86,Targeted film-channel search should retry this pair.
Moondram Kan,Galatta Plus,6,UCTTUsQJAdGSd2mMsGGfvzhQ,critic_review,missing_needs_retry,0,8,0,0,,,86,Targeted film-channel search should retry this pair.
Neelira,Galatta Plus,6,UCTTUsQJAdGSd2mMsGGfvzhQ,critic_review,missing_needs_retry,0,8,0,0,,,86,Targeted film-channel search should retry this pair.
Nizhal,Galatta Plus,6,UCTTUsQJAdGSd2mMsGGfvzhQ,critic_review,missing_needs_retry,0,8,0,0,,,86,Targeted film-channel search should retry this pair.
Oru Kaalathil Aasthireliyavil,Galatta Plus,6,UCTTUsQJAdGSd2mMsGGfvzhQ,critic_review,missing_needs_retry,0,8,0,0,,,86,Targeted film-channel search should retry this pair.
Photographer,Galatta Plus,6,UCTTUsQJAdGSd2mMsGGfvzhQ,critic_review,missing_needs_retry,0,8,0,0,,,86,Targeted film-channel search should retry this pair.
Sweet Rogue Killer,Galatta Plus,6,UCTTUsQJAdGSd2mMsGGfvzhQ,critic_review,missing_needs_retry,0,8,0,0,,,86,Targeted film-channel search should retry this pair.
Tholaivil Oru Kadhal,Galatta Plus,6,UCTTUsQJAdGSd2mMsGGfvzhQ,critic_review,missing_needs_retry,0,8,0,0,,,86,Targeted film-channel search should retry this pair.
Unsaid,Galatta Plus,6,UCTTUsQJAdGSd2mMsGGfvzhQ,critic_review,missing_needs_retry,0,8,0,0,,,86,Targeted film-channel search should retry this pair.
Valluvan,Galatta Plus,6,UCTTUsQJAdGSd2mMsGGfvzhQ,critic_review,missing_needs_retry,0,8,0,0,,,86,Targeted film-channel search should retry this pair.
Andharan,Empty Hand,5,UC8_aMwsn53tncdH-5iLu8-w,roast_commentary,missing_needs_retry,0,8,0,0,,,85,Targeted film-channel search should retry this pair.
Anthony,Empty Hand,5,UC8_aMwsn53tncdH-5iLu8-w,roast_commentary,missing_needs_retry,0,8,0,0,,,85,Targeted film-channel search should retry this pair.
